Period	Decade	AxisYear	Year	Observed_22_24	Trend_22_24	Observed_24_26	Trend_24_26	Observed_26_28	Trend_26_28	Observed_28_30	Trend_28_30	Observed_30_32	Trend_30_32	Observed_32_34	Trend_32_34	Observed_34_36	Trend_34_36	Observed_36_38	Trend_36_38	Observed_38_40	Trend_38_40	Observed_40_42	Trend_40_42	Observed_42_44	Trend_42_44	Observed_44_46	Trend_44_46	Observed_46_48	Trend_46_48	Observed_Bight	Trend_Bight
200	60	1962.5833	1962	27.39	23.2008	24.42	21.0943	20.58	19.0888	18.78	17.8342	18.46	17.057	17.32	15.5468	14.87	14.3864	15.38	13.9424	14.6	13.4731	14.3	12.6334	13.74	12.3159	15.7	12.4372	15.29	12.0065	18.63	16.8333
201	60	1962.667	1962	26.67	23.1895	25.02	21.0929	21.59	19.0918	19.29	17.8346	18.92	17.0629	16.71	15.5365	15.49	14.3878	15.45	13.9388	15.3	13.4765	14.36	12.6422	13.93	12.3254	15.76	12.4461	15.05	12.0093	18.06	16.8232
202	60	1962.75	1962	26.88	23.2006	25.05	21.1028	21.99	19.1059	19.22	17.8431	18.29	17.0672	16.73	15.5485	15.69	14.3959	15.38	13.948	15.84	13.4863	13.56	12.6504	13.77	12.3359	13.78	12.4478	13.28	12.0104	17.31	16.8211
203	60	1962.8333	1962	26.4	23.2126	24.31	21.1131	21.51	19.1199	18.38	17.8512	17.46	17.0794	16.59	15.5738	13.95	14.3925	14.77	13.9595	14.84	13.4879	13.71	12.6659	12.68	12.3442	12.89	12.456	12.59	12.0193	16.51	16.8332
204	60	1962.917	1962	24.09	23.2045	22.49	21.1089	20.36	19.1224	17.36	17.8594	15.98	17.0858	15.37	15.5825	14.09	14.409	14.27	13.9675	14.12	13.489	13.55	12.6781	11.69	12.3525	11.69	12.4607	10.91	12.0199	15.21	16.8373
205	60	1963	1963	22.11	23.1966	20.61	21.1037	18.75	19.1197	17	17.8736	15.83	17.1109	14.08	15.5871	13.55	14.4194	13.3	13.9673	12.72	13.4844	11.69	12.6791	10.59	12.3598	10.35	12.463	9.68	12.0193	14.38	16.8456
206	60	1963.0833	1963	21	23.1907	19.28	21.0983	17.75	19.1154	16.37	17.8746	15.52	17.12	14.77	15.6038	13.94	14.4315	13.59	13.9732	12.93	13.4862	12.11	12.6877	11.19	12.3707	10.77	12.469	10.03	12.0211	14.71	16.8555
207	60	1963.167	1963	20	23.1852	18.23	21.0942	16.72	19.1082	16.09	17.8755	15.47	17.127	13.65	15.5975	13.61	14.4353	12.73	13.9633	12.19	13.4798	11.49	12.6884	10.81	12.376	10.04	12.4679	9.37	12.0153	14.65	16.8579
208	60	1963.25	1963	19.83	23.1846	18.01	21.095	16.62	19.1067	16.06	17.8742	15.77	17.1311	14.38	15.6127	13.65	14.4409	12.98	13.9649	12.44	13.4803	11.52	12.6909	10.71	12.3805	10.35	12.4688	10.11	12.0137	14.76	16.8591
209	60	1963.3333	1963	19.99	23.1846	17.92	21.0933	16.78	19.1038	16.79	17.881	16.39	17.1391	14.83	15.6232	14.01	14.4421	13.57	13.9644	13.33	13.479	12.15	12.6941	12.39	12.3881	13.1	12.4758	13.02	12.0162	16.63	16.8822
210	60	1963.417	1963	20.54	23.1848	18.49	21.0903	17.4	19.1023	17.26	17.8793	17	17.141	15.76	15.632	14.04	14.4346	13.51	13.9481	12.8	13.4654	13.14	12.6971	13.09	12.3915	13.99	12.4713	13.6	12.0055	17.38	16.8837
211	60	1963.5	1963	26.16	23.2054	22.25	21.0963	19.17	19.0985	18.32	17.8738	17.92	17.1391	16.75	15.6354	15.07	14.4361	15.06	13.9517	14.67	13.4671	15.11	12.7035	15.57	12.4003	16.12	12.4744	15.55	12.0026	18.5	16.881
212	60	1963.5833	1963	28.52	23.2076	25.06	21.1019	21.77	19.1092	21.28	17.8968	19.82	17.1522	17.43	15.6337	16.23	14.4396	15.71	13.9445	15.49	13.4613	14.88	12.6926	15.11	12.3999	14.9	12.4664	15.09	11.9922	19.57	16.8841
213	60	1963.667	1963	29.5	23.2077	27.44	21.116	23.76	19.1232	22.03	17.9036	20.82	17.173	18.46	15.6471	17.45	14.4475	16.98	13.9484	16.92	13.4604	15.6	12.688	16.36	12.4056	17.28	12.4776	16.63	11.9967	20.7	16.9081
214	60	1963.75	1963	28.63	23.1995	26.91	21.1139	23.67	19.1267	21.73	17.9056	20.94	17.187	18.76	15.66	17.56	14.4511	17.54	13.9538	17.43	13.4568	16.52	12.6839	16.01	12.4031	16.47	12.4747	15.21	11.989	20.86	16.9233
215	60	1963.8333	1963	26.32	23.1813	24.41	21.0972	22.01	19.1191	19.92	17.8935	19.18	17.1746	17.95	15.6645	16.31	14.4434	15.18	13.9253	15.38	13.434	14.08	12.6553	13.41	12.389	12.36	12.4564	11.7	11.9702	18.94	16.9167
216	60	1963.917	1963	24.44	23.1668	22.74	21.0863	20.42	19.1087	18.92	17.8919	17.9	17.1667	16.98	15.6571	14.22	14.4247	14.14	13.9071	13.53	13.4095	13.01	12.6298	12.1	12.3771	11.53	12.4496	10.81	11.962	17.22	16.9072
217	60	1964	1964	22.37	23.1498	20.79	21.0726	18.87	19.0988	17.51	17.8797	16.58	17.151	14.38	15.6201	13.64	14.4202	12.94	13.8847	12.43	13.39	11.42	12.6013	11.29	12.3654	11.11	12.4431	9.58	11.9496	16.05	16.8996
218	60	1964.0833	1964	20.86	23.1301	19.21	21.0564	17.11	19.0781	16.26	17.8592	15.95	17.1289	14.51	15.6046	13.63	14.4149	12.53	13.864	11.48	13.3674	10.72	12.5747	10.36	12.3502	9.73	12.4282	8.84	11.9339	15.69	16.8858
219	60	1964.167	1964	19.19	23.1082	17.72	21.0393	16.36	19.0675	15.78	17.845	15.15	17.0985	13.98	15.583	12.68	14.3993	11.9	13.8411	10.9	13.3481	10.48	12.5514	10.02	12.3359	9.47	12.4166	8.58	11.9197	15.06	16.8642
220	60	1964.25	1964	18.86	23.0984	17.21	21.0295	16.39	19.0618	15.94	17.8345	15.57	17.0798	13.94	15.5641	11.93	14.3863	11.33	13.8191	9.95	13.3291	9.57	12.5271	9.76	12.3219	9.63	12.4052	8.81	11.9062	14.75	16.8424
221	60	1964.3333	1964	19.45	23.0956	17.11	21.0211	16.38	19.0508	15.83	17.8182	15.23	17.0485	13.87	15.5436	12.81	14.3862	11.77	13.8084	11.65	13.3278	10.65	12.517	10.06	12.3105	9.78	12.392	9.87	11.8935	14.48	16.8188
222	60	1964.417	1964	19.79	23.0831	17.96	21.0148	16.46	19.0376	16.13	17.8039	15.73	17.0283	14.41	15.5265	13.74	14.3835	13.49	13.8093	13.17	13.3259	13.27	12.5164	13.21	12.3118	14	12.3959	13.35	11.896	15.81	16.8157
223	60	1964.5	1964	23.54	23.0721	21.39	21.0107	18.99	19.0379	17.75	17.7977	17.08	17.0185	14.94	15.5107	14.62	14.3798	14.19	13.7982	14.47	13.3193	13.74	12.5034	15.95	12.3116	15.92	12.3942	15.5	11.8948	17.44	16.8123
224	60	1964.5833	1964	24.34	23.0502	22.36	20.99	20.38	19.0288	19.68	17.798	18.75	17.0121	16.89	15.5163	15.69	14.3775	15.26	13.7918	14.39	13.3021	15.3	12.4916	15.31	12.2978	16.37	12.3874	15.76	11.8859	19.04	16.815
225	60	1964.667	1964	26.17	23.0598	23.78	20.9907	20.86	19.0215	19.33	17.7841	18.76	17.0046	16.67	15.506	15.4	14.3669	15.06	13.7745	14.68	13.2903	14.3	12.4667	13.98	12.2819	14.35	12.3735	14.1	11.8716	18.96	16.815
226	60	1964.75	1964	26.81	23.0738	24.49	21.0029	21.41	19.0329	19.54	17.7913	18.55	17.0062	16.72	15.5113	15.73	14.3729	15.17	13.7766	15.43	13.2902	14.56	12.4512	13.8	12.2719	14.32	12.3705	13.71	11.8703	18.62	16.8186
227	60	1964.8333	1964	24.52	23.0633	22.64	20.9972	19.65	19.0289	17.57	17.7795	17.07	16.9998	15.69	15.5169	14.49	14.3706	14.5	13.7772	14.94	13.2843	13.25	12.4263	12.41	12.2592	11.98	12.36	11.73	11.8634	16.53	16.8094
228	60	1964.917	1964	22.15	23.0523	20.95	20.9918	18.92	19.0365	16.64	17.785	15.54	16.9956	14.49	15.5221	13.42	14.3711	13.36	13.7687	13.61	13.2701	12.28	12.4021	11.53	12.2482	10.48	12.3518	9.65	11.8536	14.74	16.8037
229	60	1965	1965	21.13	23.0566	19.62	20.9916	17.76	19.0414	15.98	17.7932	14.78	17.0048	13.9	15.5358	13.19	14.3796	12.36	13.7598	12.45	13.2558	10.77	12.3758	9.98	12.2347	9.3	12.3447	9.1	11.8501	14.05	16.8119
230	60	1965.0833	1965	20.39	23.0594	18.68	20.9908	16.95	19.0431	15.52	17.7961	14.78	17.0144	14.13	15.5482	12.2	14.3756	11.65	13.7484	11.76	13.2403	9.97	12.3521	10.15	12.2257	9.25	12.3407	8.04	11.8396	14.26	16.8198
231	60	1965.167	1965	19.7	23.0603	18.23	20.9934	16.89	19.0518	15.97	17.808	15.33	17.0308	13.81	15.554	12.79	14.3892	11.99	13.753	11.35	13.227	10.49	12.3384	9.78	12.2151	9.69	12.3383	8.65	11.8374	15.33	16.8381
232	60	1965.25	1965	19.78	23.0636	18.12	20.9955	16.83	19.0552	16.3	17.8129	15.93	17.0393	14.27	15.5666	13.19	14.4009	13.03	13.7652	11.96	13.222	11.18	12.3267	10.63	12.2082	10.11	12.334	9.22	11.8336	15.47	16.8383
233	60	1965.3333	1965	19.17	23.0565	17.48	20.9873	16.94	19.0544	16.5	17.8124	16.16	17.0374	14.18	15.5693	12.59	14.3967	11.8	13.7436	11.32	13.2029	10.84	12.3067	11.3	12.1981	11.8	12.3311	11.23	11.832	15.91	16.8376
234	60	1965.417	1965	20.29	23.0591	18.13	20.9836	16.94	19.0479	16.6	17.8054	16.02	17.0233	14.83	15.5756	13.81	14.4065	13.42	13.7513	12.26	13.1955	11.72	12.2924	11.83	12.1873	13.01	12.3241	13.01	11.8289	16.26	16.8302
235	60	1965.5	1965	24.21	23.0635	20.96	20.9808	18.75	19.0483	17.51	17.7992	17.09	17.0254	15.7	15.585	14.65	14.4139	14.3	13.752	13.69	13.1912	12.03	12.2795	12.66	12.1816	14.38	12.3224	13.19	11.8223	17.3	16.8277
236	60	1965.5833	1965	27.2	23.071	25.13	21.0002	22	19.0702	20.02	17.8177	19.23	17.0421	17.32	15.6056	16.71	14.4329	16.38	13.7674	15.63	13.1907	15.26	12.2827	15.76	12.187	16.52	12.3273	15.93	11.8339	19.21	16.844
237	60	1965.667	1965	27.42	23.0697	25.42	20.9941	23.48	19.0823	20.68	17.8278	19.2	17.0504	18.07	15.6261	17	14.4377	16.09	13.755	14.93	13.1719	14.02	12.2628	12.96	12.1743	13.34	12.3139	13.71	11.8257	19.26	16.8557
238	60	1965.75	1965	27.56	23.0798	25.92	21.005	23.4	19.0896	20.42	17.8375	19.26	17.071	18.17	15.6466	16.98	14.4467	16.03	13.7581	15.3	13.1677	14.36	12.254	13.73	12.1761	14.22	12.321	14.21	11.8378	19.08	16.8715
239	60	1965.8333	1965	26.12	23.0814	24.13	21.0005	22.24	19.0919	19.86	17.8511	18.32	17.0871	17.28	15.6626	16.24	14.4526	15.61	13.7617	15.57	13.1658	14.19	12.2409	13.39	12.1759	13.15	12.3224	12.86	11.8424	18.15	16.8877
240	60	1965.917	1965	24.56	23.0805	22.89	20.9992	20.59	19.085	18.57	17.8544	17.45	17.1017	16.37	15.673	15.17	14.4527	14.17	13.747	13.64	13.1447	12.85	12.2172	12.44	12.171	11.9	12.3198	11.71	11.8428	17.18	16.8994
241	60	1966	1966	22.39	23.0709	20.94	20.9892	18.43	19.0717	16.57	17.8432	15.27	17.0896	14.65	15.665	13.08	14.4392	12.45	13.7241	11.92	13.1231	11.14	12.1893	10.65	12.1601	10.08	12.3122	9.61	11.834	14.95	16.8864
242	60	1966.0833	1966	20.97	23.0618	19.27	20.9759	17.51	19.0647	15.94	17.841	14.9	17.0915	13.85	15.656	13.1	14.4409	12.27	13.7136	10.96	13.1034	10.73	12.1651	10.02	12.1507	9.86	12.3078	9.39	11.8278	14.43	16.882
243	60	1966.167	1966	20.71	23.0618	18.8	20.9732	16.84	19.0591	15.43	17.8378	15	17.1007	14.33	15.667	12.64	14.44	11.86	13.7016	11.02	13.0925	10.78	12.1432	10.46	12.1445	9.2	12.3006	8.83	11.8185	14.53	16.8854
244	60	1966.25	1966	20.01	23.0552	18.35	20.9669	16.64	19.0541	15.93	17.8442	15.39	17.1092	14.42	15.6715	13.28	14.4506	12.41	13.7016	11.33	13.0854	10.89	12.1211	10.78	12.1362	10.38	12.2994	9.41	11.8123	14.93	16.8907
245	60	1966.3333	1966	20.01	23.0502	17.92	20.9557	17.07	19.0512	16.72	17.8524	16.4	17.1267	14.93	15.6771	13.86	14.4543	12.62	13.6926	11.76	13.0745	10.75	12.0959	10.41	12.1234	10.86	12.292	10.47	11.804	16.5	16.9093
246	60	1966.417	1966	21.31	23.0476	18.59	20.9462	17.54	19.0443	17.29	17.8518	17.51	17.1375	15.36	15.6728	13.84	14.4452	13.38	13.6827	12.48	13.065	12.76	12.0807	13.18	12.1218	13.92	12.2938	13.04	11.8046	17.56	16.9137
247	60	1966.5	1966	23.37	23.0259	20.95	20.9318	19.56	19.0399	18.1	17.8432	17.07	17.1162	15.88	15.667	14.33	14.4412	14.18	13.6729	13.13	13.0532	13.36	12.0567	13.98	12.1141	15.3	12.292	14.74	11.8046	18.25	16.906
248	60	1966.5833	1966	26.24	23.0251	24.09	20.9335	21.86	19.041	20.53	17.8578	19.73	17.1397	17.16	15.6718	15.61	14.4464	14.16	13.6552	13.91	13.0439	12.21	12.0212	12.86	12.1026	15.19	12.2867	14.52	11.7991	20.47	16.9233
249	60	1966.667	1966	27.39	23.0275	24.77	20.9255	22.2	19.0305	20.6	17.8568	19.61	17.1457	17.67	15.6788	16.34	14.4516	15.67	13.6622	14.76	13.0385	14.32	12.0091	15.05	12.106	15.51	12.2871	15.59	11.8044	19.49	16.9153
250	60	1966.75	1966	26.12	23.0205	24.68	20.9258	22.41	19.034	20.63	17.8669	19.13	17.1548	17.45	15.6876	16.23	14.4582	15.02	13.6578	14.19	13.0301	12.63	11.9814	12.99	12.0966	13.92	12.2816	12.91	11.7965	19.04	16.9218
251	60	1966.8333	1966	25.08	23.0213	23.4	20.9219	21.23	19.0303	19.29	17.8662	18.2	17.1692	16.91	15.7038	15.89	14.4673	13.9	13.6538	12.77	13.0205	11.54	11.9591	11.17	12.0893	12.61	12.2786	10.97	11.7946	17.99	16.9308
252	60	1966.917	1966	23.51	23.0197	21	20.9056	19.25	19.0159	17.47	17.8601	17.17	17.1816	15.99	15.7123	14.46	14.4647	13.3	13.6562	12.5	13.0213	12.6	11.9516	11.66	12.0925	11.12	12.2733	10.57	11.8001	16.58	16.9324
253	60	1967	1967	21.22	23.0093	19.26	20.8965	17.65	19.0072	16.28	17.8601	15.89	17.1862	14.44	15.706	13.25	14.4615	12.41	13.6521	11.63	13.0186	10.39	11.926	10.68	12.0902	10.37	12.2693	9.53	11.8003	15.35	16.9305
254	60	1967.0833	1967	20.1	23.0047	18.49	20.8936	17.37	19.0068	16.56	17.8714	15.72	17.1912	13.98	15.7015	13.19	14.4644	12.32	13.6513	11.53	13.0179	10.62	11.91	10.46	12.0868	9.64	12.2619	9.16	11.7966	14.93	16.9245
255	60	1967.167	1967	20.16	23.0104	18.27	20.8946	16.87	19.0017	16.34	17.871	15.82	17.196	14.41	15.7105	13.03	14.467	12.37	13.6521	12.02	13.021	10.34	11.8913	9.77	12.0805	9.38	12.2551	8.95	11.7926	15.87	16.9348
256	60	1967.25	1967	19.17	23.0064	17.07	20.8826	15.84	18.9852	15.56	17.8574	15.01	17.1777	14.06	15.7069	12.78	14.4689	12.2	13.6494	11.3	13.0152	10.61	11.8751	10.18	12.0778	9.87	12.2501	9.95	11.792	14.85	16.9121
257	60	1967.3333	1967	20.94	23.0196	18.13	20.8895	16.43	18.9832	16.13	17.86	15.57	17.1813	14.43	15.7097	13.57	14.4759	12.42	13.6463	11.21	13.0088	10.3	11.8533	11.52	12.0763	11.72	12.2472	11.81	11.79	15.3	16.9067
258	60	1967.417	1967	20.23	22.9996	18.55	20.88	17.21	18.98	16.77	17.86	16.18	17.1835	14.77	15.707	13.88	14.4726	12.98	13.6412	11.53	13.0066	10.5	11.834	12.5	12.0729	13.66	12.2427	13.81	11.7874	16.05	16.9018
259	60	1967.5	1967	22.95	22.9839	20.63	20.8643	19.18	18.9758	18.42	17.8635	17.7	17.1985	15.88	15.7162	15	14.4777	14.52	13.6486	14.24	13.0213	11.05	11.8219	13.52	12.0705	14.83	12.2381	14.94	11.7826	18.17	16.9128
260	60	1967.5833	1967	25.87	22.9872	23.35	20.864	21.59	18.9798	20.92	17.8801	19.99	17.2205	18.07	15.7413	16.57	14.488	14.91	13.6439	15.42	13.0244	11.16	11.8128	13.02	12.0671	14.9	12.2326	14.84	11.7757	20.12	16.9256
261	60	1967.667	1967	26.93	22.9935	24.88	20.8676	23.26	18.986	22.27	17.8954	21.07	17.2473	19.18	15.7597	18.4	14.5032	16.8	13.6607	14.77	13.0147	13.12	11.8235	14.96	12.0759	15.38	12.233	15.46	11.7761	20.24	16.9322
262	60	1967.75	1967	26.32	22.9996	24.29	20.8666	22.05	18.9731	20.98	17.8847	20.1	17.2457	18.28	15.7568	17.34	14.4954	16.26	13.6601	15.25	13.02	13.15	11.8313	13.9	12.076	14.47	12.2298	14.23	11.7734	19.77	16.9366
263	60	1967.8333	1967	26.28	23.0152	24.06	20.8765	21.76	18.9789	20.18	17.8862	19.26	17.254	18.15	15.7697	16.75	14.493	15.54	13.658	14.86	13.0215	13.07	11.8369	13.07	12.075	12.91	12.2242	12	11.7647	18.78	16.942
264	60	1967.917	1967	23.73	23.01	21.12	20.8583	19.13	18.9569	17.61	17.8648	17.25	17.2399	16.03	15.7513	13.84	14.4667	12.39	13.6229	12.34	13.0062	10.67	11.8299	11.16	12.0695	10.62	12.2134	9.69	11.7534	16.44	16.9248
265	60	1968	1968	22.66	23.0153	20.5	20.8639	18.13	18.9546	16.9	17.8652	15.62	17.229	14.64	15.7365	13.4	14.4633	12.46	13.6262	11.66	13.0045	10.53	11.8378	9.95	12.0659	9.28	12.2055	8.6	11.7477	14.79	16.9119
266	60	1968.0833	1968	22.18	23.0186	20.17	20.8668	18.03	18.9556	16.68	17.8633	16.22	17.2382	14.95	15.7325	13.86	14.4645	12.85	13.6285	12.39	13.01	10.9	11.8471	10.1	12.0665	9.56	12.2026	8.57	11.7423	15.63	16.9194
267	60	1968.167	1968	21.13	23.0096	18.88	20.856	17.65	18.95	16.69	17.8597	16.09	17.2318	14.94	15.7229	13.69	14.4577	13.1	13.626	12.62	13.0095	11.87	11.8559	11.51	12.0698	9.98	12.199	9.33	11.7405	15.64	16.9121
268	60	1968.25	1968	19.67	22.9918	18.05	20.8455	16.97	18.9343	16.7	17.8496	16.26	17.2199	14.74	15.7046	12.81	14.4424	11.74	13.6014	11.05	12.9948	9.33	11.8422	10.51	12.0618	10.07	12.1919	9.54	11.7327	15.41	16.8954
269	60	1968.3333	1968	19.75	22.9839	17.89	20.8375	17.05	18.9216	16.62	17.8347	16.59	17.2071	14.58	15.6824	13.05	14.4332	12.15	13.5941	11.62	12.9907	10.08	11.8469	11.41	12.0568	12.12	12.1886	11.65	11.7291	16.04	16.8875
270	60	1968.417	1968	20.35	22.9753	19.01	20.833	17.98	18.9137	17.36	17.8257	17.15	17.1901	15.08	15.663	13.9	14.4256	13.23	13.59	12.11	12.9867	12.47	11.8613	13.57	12.0551	14.28	12.183	14.29	11.7272	17.12	16.8794
271	60	1968.5	1968	23.85	22.9674	21.36	20.8173	19.54	18.8966	19.01	17.8168	17.95	17.1716	16.55	15.656	15.16	14.4226	14.37	13.5865	14.61	12.9954	11.97	11.8608	13.19	12.0451	14.56	12.172	14.94	11.7166	18.35	16.8681
272	60	1968.5833	1968	25.55	22.957	22.36	20.7952	20	18.8683	19.34	17.7907	19.5	17.1579	17.62	15.6407	16.31	14.4178	15.29	13.5816	15.38	12.9905	14.2	11.8743	15.14	12.0445	15.78	12.1683	14.68	11.7049	19.54	16.8595
273	60	1968.667	1968	26.88	22.9618	24	20.7965	21.09	18.8612	20.02	17.7862	19.51	17.1465	17.68	15.6202	17.08	14.4114	16.5	13.582	15.75	12.9823	14.24	11.8771	13.21	12.0329	15.42	12.161	15.3	11.701	19.55	16.8547
274	60	1968.75	1968	26.23	22.9646	23.36	20.7932	20.66	18.8547	19.77	17.7835	19.15	17.1385	16.9	15.5995	15.58	14.3906	14.61	13.5573	14.19	12.966	12.65	11.8743	13.22	12.031	13.72	12.15	12.75	11.6884	18.09	16.8369
275	60	1968.8333	1968	25.72	22.9737	22.67	20.7985	20.4	18.861	18.88	17.7806	18.01	17.1313	16.26	15.5939	14.68	14.382	14.2	13.5568	13.8	12.962	13.02	11.8827	12.84	12.0291	12.19	12.1411	11.59	11.6835	16.96	16.8353
276	60	1968.917	1968	23.69	22.9719	21.47	20.8001	18.99	18.8548	17.34	17.7711	16.67	17.1204	14.58	15.5775	13.78	14.3765	12.99	13.5472	12.83	12.9549	11.67	11.8827	11.39	12.0229	10.79	12.1318	9.27	11.6722	15.48	16.8298
277	60	1969	1969	22.69	22.9748	21.08	20.8083	18.39	18.858	16.75	17.7712	15.82	17.1151	14.43	15.5793	13.62	14.3763	12.51	13.5429	12.07	12.9484	11	11.8856	10.24	12.016	9.41	12.1211	8.14	11.6667	15.3	16.8377
278	60	1969.0833	1969	20.94	22.9621	18.86	20.7901	17.08	18.8435	15.93	17.7584	15.31	17.0966	14.37	15.5696	12.96	14.365	12.05	13.5324	11.42	12.9384	10.31	11.8851	9.38	12.0087	8.83	12.1116	8.07	11.6614	14.82	16.8253
279	60	1969.167	1969	19.91	22.9542	17.75	20.7811	15.9	18.8292	15.47	17.7467	14.85	17.0777	13.84	15.5524	12.78	14.3585	11.88	13.5254	11.14	12.9309	10.31	11.8883	9.81	12.0063	9.15	12.1055	8.55	11.6601	14.47	16.813
280	60	1969.25	1969	20.28	22.9573	17.67	20.7806	16.43	18.831	15.81	17.7417	15.56	17.0715	14.1	15.5437	12.75	14.3546	12.34	13.5274	11.51	12.9298	10.91	11.8953	10.43	12.0048	9.86	12.1001	9.6	11.6593	15.7	16.8189
281	60	1969.3333	1969	20.02	22.9479	17.37	20.7734	16.49	18.8224	16.04	17.7334	15.76	17.057	14.29	15.5345	13.53	14.3546	12.86	13.5242	12.51	12.9281	11.26	11.898	11.5	12.0024	11.89	12.0963	11.84	11.659	15.82	16.8063
282	60	1969.417	1969	19.7	22.9288	18.03	20.7665	17.21	18.8162	17.1	17.7312	17.01	17.0523	16.11	15.5374	15.12	14.3549	13.83	13.5178	13.59	12.9242	12.98	11.904	14.06	12.0033	14.71	12.0931	14.15	11.6577	17.32	16.8052
283	60	1969.5	1969	23.54	22.9255	21.02	20.7623	18.86	18.8067	18.25	17.7191	17.68	17.0333	15.96	15.5105	15.01	14.3358	14.18	13.5015	13.83	12.9099	12.73	11.8977	14.11	11.9938	14.62	12.0792	14.68	11.6488	18.45	16.7942
284	60	1969.5833	1969	26.31	22.9277	23.96	20.7658	21.39	18.8099	20	17.7162	19.41	17.023	17.42	15.5006	15.2	14.3188	14.56	13.4872	14.25	12.8965	13.73	11.8964	14.07	11.9845	14.67	12.0694	15.25	11.6438	20.14	16.7931
285	60	1969.667	1969	27.13	22.9287	25.56	20.7699	22.27	18.8057	20.18	17.708	18.83	17.003	17.48	15.4843	16.38	14.3174	15.79	13.4884	15.16	12.8894	14.76	11.8978	13.44	11.9765	15.48	12.0667	15.26	11.6386	19.17	16.7739
286	60	1969.75	1969	26.63	22.9287	24.63	20.7631	21.83	18.8005	19.56	17.7019	18.75	17.0014	17.21	15.4748	15.88	14.3098	15.51	13.4856	14.94	12.8809	14.76	11.8949	13.82	11.9751	13.58	12.0553	13.59	11.6319	18.25	16.7636
287	60	1969.8333	1969	25	22.9235	22.99	20.7567	20.44	18.7942	18.69	17.7023	17.74	17.0015	16.83	15.477	16	14.3141	15.17	13.4858	14.39	12.8724	13.48	11.8799	12.42	11.9677	12.8	12.0494	12.32	11.6269	16.9	16.7592
288	60	1969.917	1969	23.18	22.919	21.63	20.7532	19.65	18.7944	18.03	17.7068	17.02	17.0045	15.7	15.4675	15.3	14.309	14.11	13.4742	13.78	12.8626	12.86	11.8662	11.64	11.9624	11.32	12.0389	11.33	11.6207	16.4	16.7668
289	70	1970	1970	21.12	22.913	19.03	20.7375	17.36	18.7778	16.22	17.6923	15.41	16.9901	14.99	15.4575	14	14.2929	13.39	13.46	12.52	12.8456	11.96	11.8475	11.32	11.9569	10.28	12.0277	9.11	11.6054	14.75	16.7521
290	70	1970.0833	1970	20.9	22.9185	19.18	20.7451	17.23	18.7783	15.9	17.6884	15.79	16.9898	15.16	15.4433	14.26	14.285	13.37	13.4452	12.84	12.8342	12.01	11.8264	11.18	11.9476	10.93	12.0196	10.25	11.5986	15.23	16.7517
291	70	1970.167	1970	20.46	22.9201	19.03	20.7483	16.92	18.7757	16.33	17.6912	15.59	16.9773	14.88	15.4183	14.37	14.2728	13.32	13.4251	12.49	12.8145	11.33	11.7952	11.44	11.9356	10.79	12.0044	10.17	11.5836	15.26	16.7432
292	70	1970.25	1970	19.85	22.9147	18.03	20.7375	16.55	18.7666	16.2	17.6808	15.75	16.9604	14.49	15.3847	13.1	14.2433	11.7	13.3828	10.91	12.7848	10	11.7573	10.72	11.9163	10.48	11.9842	10.23	11.563	15.94	16.7373
293	70	1970.3333	1970	19.74	22.9079	17.83	20.7294	16.89	18.7599	16.21	17.6689	15.76	16.9395	14.24	15.3496	12.29	14.2131	11.63	13.3547	11.8	12.7682	10.25	11.7267	11.52	11.8978	11.17	11.9629	11.44	11.5411	15.69	16.7147
294	70	1970.417	1970	19.96	22.8968	18.3	20.7188	17.23	18.7478	16.94	17.6617	16.45	16.9232	15.22	15.3221	13.54	14.1985	12.81	13.3373	12.35	12.748	10.75	11.6978	11.97	11.8775	12.14	11.9419	12.33	11.5177	17.08	16.7075
295	70	1970.5	1970	24.24	22.8994	21.67	20.7158	19.22	18.7401	18.55	17.6555	17.71	16.9127	15.28	15.2809	13.96	14.1775	13.33	13.3119	12.74	12.7245	11	11.6713	12.45	11.859	13.69	11.9278	13.2	11.4983	18.35	16.6949
296	70	1970.5833	1970	26.36	22.894	23.44	20.7029	20.86	18.7299	20.19	17.6502	19.61	16.905	16.13	15.25	14.67	14.1601	13.75	13.288	13.11	12.702	11.29	11.6489	12.16	11.8434	13.16	11.9105	13.8	11.4839	20.65	16.6986
297	70	1970.667	1970	26.57	22.8869	23.67	20.6896	21.2	18.7174	19.92	17.6347	19.02	16.8827	16.49	15.2294	15.3	14.1492	13.76	13.2664	12.84	12.68	11.24	11.6343	12.76	11.8366	12.8	11.9001	13.02	11.4677	19.02	16.6651
298	70	1970.75	1970	26.22	22.8883	23.85	20.6934	21.16	18.7163	19.77	17.6338	19.1	16.8798	17.22	15.2266	15.91	14.1486	14.09	13.2677	13.45	12.6752	10.88	11.6314	11.18	11.829	12.04	11.8943	11.93	11.4603	18.49	16.6553
299	70	1970.8333	1970	24.93	22.8887	22.15	20.6874	19.76	18.7106	18.71	17.6298	17.76	16.8692	15.96	15.2096	15.13	14.1402	14.18	13.2739	14.11	12.676	12.56	11.6455	11.9	11.8327	11.5	11.8931	11.36	11.4582	17.35	16.6478
300	70	1970.917	1970	23.32	22.8879	21.09	20.6887	18.7	18.7089	16.99	17.6178	16.37	16.8543	14.7	15.1895	13.76	14.1251	12.89	13.2613	13.05	12.6634	11.96	11.6481	11.09	11.8332	10.53	11.8899	10.16	11.4517	15.34	16.627
